game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,home_team_win,point_differential,total_points,home_points_scored_rolling,home_points_allowed_rolling,home_point_diff_rolling,home_win_rate_rolling,home_recent_form,away_points_scored_rolling,away_points_allowed_rolling,away_point_diff_rolling,away_win_rate_rolling,away_recent_form,home_epa_per_play,home_success_rate,home_yards_per_play,home_epa_allowed_per_play,home_success_rate_allowed,away_epa_per_play,away_success_rate,away_yards_per_play,away_epa_allowed_per_play,away_success_rate_allowed,points_scored_rolling_differential,points_allowed_rolling_differential,point_diff_rolling_differential,win_rate_rolling_differential,recent_form_differential,is_divisional_game
2025_14_CIN_BUF,2025,REG,14,2025-12-07,Sunday,16:25,CIN,,BUF,,Home,,,,2025120710,,,202512070buf,28623.0,401772902,6939.0,10,7,,,,,,,,,0,outdoors,a_turf,,,,,,,Zac Taylor,Sean McDermott,,BUF00,New Era Field,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_14_HOU_KC,2025,REG,14,2025-12-07,Sunday,20:20,HOU,,KC,,Home,,,,2025120711,,,202512070kan,28624.0,401772932,6940.0,7,10,,,,,,,,,0,outdoors,grass,,,,,,,DeMeco Ryans,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_14_PHI_LAC,2025,REG,14,2025-12-08,Monday,20:15,PHI,,LAC,,Home,,,,2025120800,,,202512080sdg,28625.0,401772822,6941.0,10,8,,,,,,,,,0,dome,matrixturf,,,,,,,Nick Sirianni,Jim Harbaugh,,LAX01,SoFi Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0,0
2025_15_ATL_TB,2025,REG,15,2025-12-11,Thursday,20:15,ATL,,TB,,Home,,,,2025121100,,,202512110tam,28626.0,401772948,6942.0,4,4,,,,,,,,,1,outdoors,grass,,,,,,,Raheem Morris,Todd Bowles,,TAM00,Raymond James Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_15_CLE_CHI,2025,REG,15,2025-12-14,Sunday,13:00,CLE,,CHI,,Home,,,,2025121400,,,202512140chi,28627.0,401772904,6943.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Kevin Stefanski,Ben Johnson,,CHI98,Soldier Field,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.5,0.3333333333333333,0
2025_15_BAL_CIN,2025,REG,15,2025-12-14,Sunday,13:00,BAL,,CIN,,Home,,,,2025121401,,,202512140cin,28628.0,401772796,6944.0,7,7,,,,,,,,,1,outdoors,fieldturf,,,,,,,John Harbaugh,Zac Taylor,,CIN00,Paycor Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.0,,,,,,,,,,,,,,0.5,0.6666666666666666,0
2025_15_ARI_HOU,2025,REG,15,2025-12-14,Sunday,13:00,ARI,,HOU,,Home,,,,2025121402,,,202512140htx,28629.0,401772903,6945.0,7,7,,,,,,,,,0,closed,astroturf,,,,,,,Jonathan Gannon,DeMeco Ryans,,HOU00,NRG Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.5,0.3333333333333333,0
2025_15_NYJ_JAX,2025,REG,15,2025-12-14,Sunday,13:00,NYJ,,JAX,,Home,,,,2025121403,,,202512140jax,28630.0,401772797,6946.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Aaron Glenn,Liam Coen,,JAX00,TIAA Bank Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.3333333333333333,0
2025_15_LAC_KC,2025,REG,15,2025-12-14,Sunday,13:00,LAC,,KC,,Home,,,,2025121404,,,202512140kan,28631.0,401772798,6947.0,6,7,,,,,,,,,1,outdoors,grass,,,,,,,Jim Harbaugh,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.0,0
2025_15_BUF_NE,2025,REG,15,2025-12-14,Sunday,13:00,BUF,,NE,,Home,,,,2025121405,,,202512140nwe,28632.0,401772795,6948.0,7,13,,,,,,,,,1,outdoors,fieldturf,,,,,,,Sean McDermott,Mike Vrabel,,BOS00,Gillette Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_15_WAS_NYG,2025,REG,15,2025-12-14,Sunday,13:00,WAS,,NYG,,Home,,,,2025121406,,,202512140nyg,28633.0,401772905,6949.0,7,13,,,,,,,,,1,outdoors,fieldturf,,,,,,,Dan Quinn,Brian Daboll,,NYC01,MetLife Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_15_LV_PHI,2025,REG,15,2025-12-14,Sunday,13:00,LV,,PHI,,Home,,,,2025121407,,,202512140phi,28634.0,401772906,6950.0,7,6,,,,,,,,,0,outdoors,grass,,,,,,,Pete Carroll,Nick Sirianni,,PHI00,Lincoln Financial Field,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_15_GB_DEN,2025,REG,15,2025-12-14,Sunday,16:25,GB,,DEN,,Home,,,,2025121408,,,202512140den,28635.0,401772800,6951.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Matt LaFleur,Sean Payton,,DEN00,Empower Field at Mile High,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.3333333333333333,0
2025_15_DET_LA,2025,REG,15,2025-12-14,Sunday,16:25,DET,,LA,,Home,,,,2025121409,,,202512140ram,28638.0,401772909,6952.0,10,7,,,,,,,,,0,dome,matrixturf,,,,,,,Dan Campbell,Sean McVay,,LAX01,SoFi Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.0,,,,,,,,,,,,,,0.25,0.6666666666666666,0
2025_15_CAR_NO,2025,REG,15,2025-12-14,Sunday,16:25,CAR,,NO,,Home,,,,2025121410,,,202512140nor,28636.0,401772908,6953.0,14,7,,,,,,,,,1,dome,sportturf,,,,,,,Dave Canales,Kellen Moore,,NOR00,Mercedes-Benz Superdome,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_15_IND_SEA,2025,REG,15,2025-12-14,Sunday,16:25,IND,,SEA,,Home,,,,2025121411,,,202512140sea,28637.0,401772799,6954.0,7,7,,,,,,,,,0,outdoors,fieldturf,,,,,,,Shane Steichen,Mike Macdonald,,SEA00,Lumen Field,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_15_TEN_SF,2025,REG,15,2025-12-14,Sunday,16:25,TEN,,SF,,Home,,,,2025121412,,,202512140sfo,28639.0,401772907,6955.0,7,14,,,,,,,,,0,outdoors,grass,,,,,,,Brian Callahan,Kyle Shanahan,,SFO01,Levi's Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_15_MIN_DAL,2025,REG,15,2025-12-14,Sunday,20:20,MIN,,DAL,,Home,,,,2025121413,,,202512140dal,28640.0,401772933,6956.0,7,10,,,,,,,,,0,closed,matrixturf,,,,,,,Kevin O'Connell,Brian Schottenheimer,,DAL00,AT&T Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_15_MIA_PIT,2025,REG,15,2025-12-15,Monday,20:15,MIA,,PIT,,Home,,,,2025121500,,,202512150pit,28641.0,401772823,6957.0,8,8,,,,,,,,,0,outdoors,grass,,,,,,,Mike McDaniel,Mike Tomlin,,PIT00,Acrisure Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_16_LA_SEA,2025,REG,16,2025-12-18,Thursday,20:15,LA,,SEA,,Home,,,,2025121800,,,202512180sea,28642.0,401772949,6958.0,4,4,,,,,,,,,1,outdoors,fieldturf,,,,,,,Sean McVay,Mike Macdonald,,SEA00,Lumen Field,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_16_GB_CHI,2025,REG,16,2025-12-19,Friday,13:00,GB,,CHI,,Home,,,,2025121900,,,202512190chi,28643.0,401772613,6959.0,5,5,,,,,,,,,1,outdoors,grass,,,,,,,Matt LaFleur,Ben Johnson,,CHI98,Soldier Field,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,0.0,0
2025_16_PHI_WAS,2025,REG,16,2025-12-19,Friday,13:00,PHI,,WAS,,Home,,,,2025121901,,,202512190was,28644.0,401772612,6960.0,5,5,,,,,,,,,1,outdoors,grass,,,,,,,Nick Sirianni,Dan Quinn,,WAS00,FedExField,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_16_NE_BAL,2025,REG,16,2025-12-21,Sunday,13:00,NE,,BAL,,Home,,,,2025122100,,,202512210rav,28645.0,401772804,6961.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Mike Vrabel,John Harbaugh,,BAL00,M&T Bank Stadium,0,,,,,,0.25,0.3333333333333333,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.0,0.0,0
2025_16_TB_CAR,2025,REG,16,2025-12-21,Sunday,13:00,TB,,CAR,,Home,,,,2025122101,,,202512210car,28646.0,401772912,6962.0,10,7,,,,,,,,,1,outdoors,grass,,,,,,,Todd Bowles,Dave Canales,,CAR00,Bank of America Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.0,,,,,,,,,,,,,,0.5,0.6666666666666666,0
2025_16_BUF_CLE,2025,REG,16,2025-12-21,Sunday,13:00,BUF,,CLE,,Home,,,,2025122102,,,202512210cle,28647.0,401772802,6963.0,7,7,,,,,,,,,0,outdoors,grass,,,,,,,Sean McDermott,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.75,0.6666666666666666,,,,,,,,,,,,,,-0.25,-0.3333333333333333,0
2025_16_LAC_DAL,2025,REG,16,2025-12-21,Sunday,13:00,LAC,,DAL,,Home,,,,2025122103,,,202512210dal,28648.0,401772910,6964.0,7,7,,,,,,,,,0,closed,matrixturf,,,,,,,Jim Harbaugh,Brian Schottenheimer,,DAL00,AT&T Stadium,0,,,,,,0.25,0.3333333333333333,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,-0.25,0.0,0
